NewsDate,NewsTitle,Path,URL
20200221,굿바이 보험아줌마…로봇 설계사 시대 온다,..\rawdata\기업별 관련기사\보험사\생보사\한화생명\20200221 굿바이 보험아줌마…로봇 설계사 시대 온다.md,https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361320
20200221,굿바이 보험아줌마…로봇 설계사 시대 온다,..\rawdata\기업별 관련기사\보험사\생보사\교보생명\20200221 굿바이 보험아줌마…로봇 설계사 시대 온다.md,https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361320
20200221,카드사...AI가 고객상담·불량거래 포착...'데이터'=돈,..\rawdata\기업별 관련기사\카드사\_카드사 공통\20200221 카드사...AI가 고객상담·불량거래 포착...'데이터'=돈.md,https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361323
20200224,"현금없는 사회, 정말 올까요","..\rawdata\기업별 관련기사\_공통\20200224 현금없는 사회, 정말 올까요.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=003&aid=0009719052
20200224,빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다,..\rawdata\기업별 관련기사\카드사\롯데카드\20200224 빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=015&aid=0004295742
20200224,빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다,..\rawdata\기업별 관련기사\카드사\삼성카드\20200224 빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=015&aid=0004295742
20200224,빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다,..\rawdata\기업별 관련기사\카드사\신한카드\20200224 빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=015&aid=0004295742
20200224,"은행권, 코로나19에 비상체제 돌입…지점폐쇄 등 줄지어","..\rawdata\기업별 관련기사\_공통\20200224 은행권, 코로나19에 비상체제 돌입…지점폐쇄 등 줄지어.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=003&aid=0009719966
20200224,"농협 순익, 기업 추월… 信經분리 후 처음 비용관리·자산확대땐 5대은행 진입 기대","..\rawdata\기업별 관련기사\은행\NH농협은행\20200224 농협 순익, 기업 추월… 信經분리 후 처음 비용관리·자산확대땐 5대은행 진입 기대.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=029&aid=0002586945
20200224,빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다,..\rawdata\기업별 관련기사\카드사\KB국민카드\20200224 빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=015&aid=0004295742
20200224,"하나銀, 음성+모바일화면 결합 ARS서비스","..\rawdata\기업별 관련기사\은행\하나은행\20200224 하나銀, 음성+모바일화면 결합 ARS서비스.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=016&aid=0001639498
20200224,빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다,..\rawdata\기업별 관련기사\카드사\하나카드\20200224 빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=015&aid=0004295742
20200224,빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다,..\rawdata\기업별 관련기사\카드사\현대카드\20200224 빅데이터 창고 연 카드사 네가 뭘 살지 딱 안다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=015&aid=0004295742
20200225,"대출 확대·이자 감면...은행, 소상공인 지원책 앞다퉈 내놔","..\rawdata\기업별 관련기사\은행\하나은행\20200225 대출 확대·이자 감면...은행, 소상공인 지원책 앞다퉈 내놔.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=011&aid=0003700275
20200225,"금감원, 미스터리쇼핑 예산 2배 확대...불완전판매 사전예방","..\rawdata\기업별 관련기사\_공통\20200225 금감원, 미스터리쇼핑 예산 2배 확대...불완전판매 사전예방.md",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=014&aid=0004378729
